id,questionId,topicId
261,100,7
262,101,11
263,101,19
264,101,69
265,101,7
266,102,11
267,102,69
268,102,7
269,103,11
270,103,69
271,103,7
272,104,11
273,104,19
274,104,69
275,104,7
276,105,1
277,105,21
278,105,31
279,105,69
280,105,7
281,106,1
282,106,21
283,106,31
284,106,69
285,106,7
286,107,11
287,107,69
288,107,7
289,108,1
290,108,21
291,108,6
292,108,69
293,108,7
294,109,36
295,109,21
296,109,6
297,109,69
298,109,7
299,110,19
300,110,69
301,110,7
302,111,11
303,111,19
304,111,69
305,111,7
306,112,11
307,112,19
308,112,69
309,112,7
310,113,19
311,113,2
312,113,69
313,113,7
314,114,36
315,114,63
316,114,19
317,114,69
318,114,7
319,115,64
320,115,23
321,116,36
322,116,11
323,116,19
324,116,69
325,116,7
326,117,36
327,117,11
328,117,19
329,117,69
330,117,7
331,118,1
332,118,23
333,119,1
334,119,23
335,120,1
336,120,23
337,121,1
338,121,23
339,122,29
340,122,1
341,122,23
342,123,1
343,123,23
344,124,19
345,124,69
346,124,7
347,124,23
348,125,71
349,125,64
350,126,11
351,126,2
352,126,64
353,126,31
354,127,11
355,127,64
356,127,31
357,128,72
358,128,1
359,128,31
360,129,19
361,129,69
362,129,7
363,130,1
364,130,11
365,130,19
366,130,38
367,130,72
368,131,2
369,131,64
370,131,23
371,132,64
372,132,23
373,133,11
374,133,19
375,133,28
376,133,31
377,134,29
378,134,1
379,135,29
380,135,1
381,136,8
382,136,1
383,137,8
384,137,1
385,138,36
386,138,31
387,139,1
388,139,70
389,139,64
390,139,31
391,139,39
392,139,23
393,140,2
394,140,1
395,140,70
396,140,64
397,140,31
398,140,39
399,140,23
400,141,71
401,141,36
402,141,31
403,142,71
404,142,36
405,142,31
406,143,63
407,143,71
408,143,52
409,143,36
410,144,63
411,144,19
412,144,69
413,144,7
414,145,63
415,145,19
416,145,69
417,145,7
418,146,20
419,146,22
420,146,36
421,146,31
422,147,36
423,147,62
424,148,36
425,148,62
426,148,71
427,148,21
428,148,40
429,149,27
430,149,37
431,149,1
432,149,31
433,150,63
434,150,37
435,150,1
436,151,71
437,151,64
438,152,1
439,152,23
440,153,5
441,153,1
442,154,5
443,154,1
444,155,63
445,155,20
446,156,19
447,156,69
448,156,7
449,157,59
450,157,1
451,157,33
452,158,59
453,158,1
454,158,33
455,159,60
456,159,64
457,159,31
458,160,71
459,160,36
460,160,31
461,161,71
462,161,64
463,162,5
464,162,1
465,163,1
466,164,12
467,164,50
468,164,1
469,164,62
470,165,71
471,165,64
472,166,64
473,166,37
474,166,31
475,167,71
476,167,5
477,167,1
478,168,64
479,168,37
480,169,1
481,169,62
482,169,21
483,169,31
484,169,15
485,170,1
486,170,71
487,170,17
488,170,20
489,170,31
490,171,64
491,171,37
492,172,37
493,173,34
494,173,20
495,173,63
496,173,6
497,173,69
498,173,7
499,174,38
500,174,1
501,174,23
502,175,18
503,176,18
504,177,18
505,178,18
506,179,64
507,179,29
508,179,1
509,179,62
510,180,18
511,181,18
512,182,18
513,183,18
514,184,18
515,185,18
516,186,71
517,186,64
518,187,60
519,187,55
520,187,8
521,187,64
522,187,31
523,187,30
524,188,1
525,188,23
526,189,71
527,189,37
528,189,1
529,190,8
530,190,21
531,191,8
532,191,21
533,192,57
534,193,57
535,194,57
536,195,57
537,196,18
538,197,18
539,198,1
540,198,23
541,199,11
542,199,19
543,199,69
544,199,7
545,200,1
546,200,11
547,200,19
548,200,38
549,200,72
550,201,8
551,202,71
552,202,37
553,202,31
554,203,52
555,203,36
556,204,44
557,204,37
558,204,24
559,204,1
560,205,64
561,205,31
562,206,52
563,206,36
564,207,11
565,207,19
566,207,68
567,207,28
568,208,20
569,208,70
570,208,64
571,208,31
572,209,60
573,209,46
574,209,5
575,209,1
576,210,11
577,210,19
578,210,68
579,210,28
580,211,19
581,211,70
582,211,64
583,211,20
584,212,2
585,212,1
586,212,70
587,212,64
588,212,38
589,213,1
590,213,23
591,214,55
592,214,30
593,214,64
594,214,65
595,215,1
596,215,62
597,215,21
598,215,49
599,215,32
600,216,2
601,216,1
602,217,62
603,217,1
604,217,31
605,218,35
606,218,45
607,218,1
608,218,62
609,218,21
610,218,4
611,218,32
612,218,56
613,219,60
614,219,1
615,219,31
616,220,45
617,220,60
618,220,1
619,220,62
620,220,12
621,221,38
622,221,1
623,221,23
624,222,69
625,222,8
626,222,5
627,222,7
628,223,27
629,223,37
630,224,63
631,224,52
632,224,64
633,224,37
634,225,63
635,225,48
636,225,20
637,226,11
638,226,19
639,226,69
640,226,7
641,227,63
642,227,64
643,227,37
644,228,1
645,229,62
646,229,15
647,229,1
648,229,31
649,230,19
650,230,69
651,230,7
652,230,6
653,231,52
654,231,8
655,231,37
656,232,63
657,232,48
658,232,20
659,233,52
660,233,37
661,233,23
662,234,63
663,234,71
664,234,52
665,234,36
666,235,19
667,235,69
668,235,7
669,235,6
670,236,19
671,236,69
672,236,7
673,237,36
674,238,46
675,238,1
676,239,60
677,239,1
678,239,42
679,239,32
680,239,48
681,240,21
682,240,38
683,240,5
684,240,1
685,241,52
686,241,37
687,241,39
688,241,64
689,241,23
690,242,62
691,242,64
692,242,31
693,243,64
694,243,1
695,244,1
696,244,71
697,244,20
698,244,64
699,244,31
700,245,64
701,245,1
702,246,71
703,246,64
704,246,31
705,247,52
706,247,64
707,247,1
708,248,52
709,248,64
710,248,1
711,249,64
712,249,1
713,249,31
714,250,19
715,250,69
716,250,7
717,251,34
718,251,71
719,251,1
720,251,20
721,252,1
722,252,62
723,253,1
724,253,62
725,253,71
726,253,29
727,253,32
728,253,46
729,254,2
730,255,52
731,255,1
732,255,63
733,255,6
734,255,69
735,255,7
736,255,43
737,256,1
738,256,23
739,257,2
740,257,64
741,257,19
742,257,69
743,257,7
744,258,44
745,258,59
746,258,37
747,259,71
748,259,5
749,259,1
750,259,62
751,260,8
752,260,1
753,261,11
754,261,19
755,261,28
756,261,72
757,262,18
758,263,37
759,264,32
760,264,23
761,264,37
762,264,31
763,265,1
764,265,23
765,266,8
766,266,64
767,266,31
768,267,2
769,267,64
770,267,31
771,268,1
772,268,62
773,268,8
774,268,37
775,268,5
776,268,31
777,269,1
778,269,11
779,269,64
780,269,19
781,269,68
782,269,28
783,270,5
784,270,6
785,270,19
786,270,69
787,270,7
788,271,64
789,271,1
790,271,20
791,272,71
792,272,63
793,272,32
794,272,6
795,272,19
796,272,69
797,272,7
798,273,52
799,273,64
800,273,37
801,274,16
802,274,1
803,274,62
804,275,5
805,275,1
806,276,23
807,277,71
808,277,28
809,277,33
810,278,5
811,278,33
812,279,11
813,279,37
814,279,23
815,280,29
816,280,1
817,280,62
818,281,34
819,281,48
820,281,1
821,281,20
822,282,2
823,282,64
824,282,37
825,283,71
826,283,1
827,284,34
828,284,1
829,284,20
830,285,19
831,285,69
832,285,7
833,285,6
834,286,11
835,286,38
836,286,1
837,287,71
838,287,8
839,287,5
840,287,1
841,288,20
842,288,64
843,288,1
844,288,31
845,289,38
846,289,59
847,289,1
848,290,64
849,290,31
850,291,2
851,291,64
852,291,31
853,292,26
854,292,10
855,292,37
856,293,64
857,294,2
858,294,37
859,294,26
860,294,39
861,294,23
862,295,62
863,295,71
864,295,17
865,295,20
866,295,32
867,296,38
868,296,37
869,296,1
870,296,62
871,297,20
872,297,11
873,297,64
874,297,19
875,297,69
876,297,7
877,298,19
878,298,69
879,298,7
880,299,15
881,299,64
882,299,31
883,300,5
884,300,1
885,300,23
886,301,11
887,301,2
888,301,64
889,302,1
890,302,11
891,302,5
892,302,19
893,302,38
894,303,46
895,303,1
896,303,20
897,304,38
898,304,46
899,304,1
900,304,20
901,305,72
902,305,1
903,305,31
904,306,2
905,306,64
906,307,1
907,307,21
908,307,20
909,307,4
910,307,56
911,308,1
912,308,20
913,308,4
914,308,56
915,308,38
916,309,1
917,309,23
918,310,11
919,310,19
920,310,68
921,310,28
922,311,38
923,311,1
924,311,31
925,312,1
926,312,23
927,313,37
928,313,1
929,313,23
930,314,62
931,314,11
932,314,31
933,314,19
934,314,69
935,314,7
936,315,45
937,315,1
938,315,21
939,315,4
940,315,5
941,315,40
942,315,56
943,316,63
944,316,43
945,316,29
946,316,64
947,317,11
948,317,38
949,317,1
950,318,64
951,318,8
952,318,1
953,319,10
954,319,37
955,320,2
956,320,8
957,320,64
958,321,1
959,321,71
960,321,29
961,321,63
962,321,43
963,322,11
964,322,1
965,322,23
966,323,11
967,323,19
968,323,28
969,323,72
970,324,1
971,324,62
972,324,29
973,324,21
974,324,49
975,325,46
976,325,1
977,325,31
978,326,52
979,326,37
980,327,45
981,327,1
982,327,21
983,327,4
984,327,5
985,327,40
986,327,56
987,328,36
988,329,1
989,329,11
990,329,39
991,329,19
992,329,38
993,329,68
994,329,28
995,329,23
996,330,29
997,330,1
998,331,63
999,331,69
1000,331,64
1001,331,7
1002,332,19
1003,332,28
1004,332,25
1005,333,23
1006,333,6
1007,333,19
1008,333,69
1009,333,7
1010,334,29
1011,334,1
1012,335,27
1013,335,37
1014,335,1
1015,336,64
1016,336,70
1017,336,1
1018,336,31
1019,337,19
1020,337,69
1021,337,7
1022,337,23
1023,338,8
1024,338,23
1025,339,11
1026,339,19
1027,340,60
1028,340,64
1029,340,31
1030,341,34
1031,341,20
1032,341,63
1033,341,48
1034,341,19
1035,341,69
1036,342,52
1037,342,8
1038,342,37
1039,343,37
1040,343,23
1041,344,71
1042,344,64
1043,345,71
1044,345,64
1045,346,17
1046,346,48
1047,346,1
1048,346,20
1049,347,1
1050,347,62
1051,347,21
1052,347,32
1053,347,49
1054,347,31
1055,347,12
1056,347,15
1057,348,1
1058,348,59
1059,348,20
1060,348,31
1061,348,38
1062,349,1
1063,349,62
1064,349,71
1065,349,5
1066,349,31
1067,350,1
1068,350,62
1069,350,71
1070,350,5
1071,350,31
1072,351,9
1073,351,2
1074,351,8
1075,351,23
1076,352,45
1077,352,17
1078,352,20
1079,352,5
1080,352,31
1081,352,72
1082,353,1
1083,353,59
1084,353,20
1085,353,31
1086,353,48
1087,354,62
1088,354,5
1089,354,1
1090,354,23
1091,355,20
1092,355,32
1093,355,36
1094,355,31
1095,356,37
1096,356,1
1097,356,31
1098,357,2
1099,357,37
1100,357,23
1101,358,62
1102,358,29
1103,358,32
1104,358,64
1105,358,31
1106,358,15
1107,359,20
1108,359,17
1109,359,31
1110,360,71
1111,360,37
1112,360,1
1113,360,62
1114,361,38
1115,361,1
1116,361,23
1117,362,1
1118,362,17
1119,362,20
1120,362,5
1121,362,48
1122,363,45
1123,363,1
1124,363,5
1125,363,38
1126,363,46
1127,364,63
1128,364,19
1129,364,11
1130,365,11
1131,365,19
1132,365,37
1133,366,19
1134,366,69
1135,366,7
1136,367,5
1137,367,37
1138,368,37
1139,368,62
1140,368,1
1141,368,23
1142,369,36
1143,369,37
1144,370,46
1145,370,1
1146,371,8
1147,371,37
1148,372,21
1149,372,37
1150,373,32
1151,373,1
1152,374,5
1153,374,33
1154,375,26
1155,375,37
1156,375,23
1157,376,29
1158,376,1
1159,376,23
1160,377,1
1161,377,23
1162,378,1
1163,378,62
1164,378,32
1165,378,5
1166,378,38
1167,379,36
1168,379,1
1169,379,20
1170,379,31
1171,379,48
1172,380,1
1173,380,37
1174,380,20
1175,380,51
1176,380,31
1177,381,1
1178,381,37
1179,381,20
1180,381,51
1181,381,31
1182,382,54
1183,382,51
1184,382,36
1185,382,37
1186,383,15
1187,383,64
1188,383,31
1189,384,37
1190,384,51
1191,384,1
1192,384,20
1193,385,63
1194,385,19
1195,385,64
1196,386,19
1197,386,70
1198,387,48
1199,387,15
1200,387,64
1201,387,31
1202,388,63
1203,388,19
1204,388,64
1205,389,62
1206,389,8
1207,389,64
1208,389,31
1209,390,52
1210,390,37
1211,391,27
1212,391,35
1213,391,1
1214,391,37
1215,391,31
1216,392,71
1217,392,64
1218,392,23
1219,393,8
1220,393,1
1221,394,63
1222,394,52
1223,394,64
1224,395,60
1225,395,21
1226,395,64
1227,395,31
1228,396,37
1229,396,1
1230,396,23
1231,397,8
1232,397,29
1233,397,39
1234,397,23
1235,398,54
1236,398,51
1237,398,37
1238,398,31
1239,399,58
1240,399,1
1241,399,11
1242,399,28
1243,399,64
1244,399,19
1245,399,72
1246,400,5
1247,400,37
1248,401,2
1249,401,8
1250,402,63
1251,402,43
1252,402,29
1253,402,64
1254,403,1
1255,403,23
1256,404,11
1257,404,19
1258,404,69
1259,404,7
1260,405,64
1261,405,8
1262,405,37
1263,406,56
1264,406,4
1265,406,1
1266,406,62
1267,407,11
1268,407,38
1269,407,32
1270,407,1
1271,408,71
1272,408,64
1273,409,29
1274,409,64
1275,409,31
1276,410,1
1277,410,29
1278,410,5
1279,410,46
1280,410,23
1281,411,2
1282,411,64
1283,411,8
1284,411,1
1285,412,59
1286,412,64
1287,412,37
1288,413,60
1289,413,1
1290,413,23
1291,414,1
1292,414,62
1293,415,59
1294,415,64
1295,415,37
1296,416,1
1297,416,23
1298,417,11
1299,417,19
1300,417,38
1301,417,1
1302,418,64
1303,418,1
1304,418,23
1305,419,19
1306,419,38
1307,419,1
1308,420,32
1309,420,29
1310,420,64
1311,421,8
1312,421,70
1313,421,1
1314,421,31
1315,422,38
1316,422,1
1317,423,64
1318,423,37
1319,423,31
1320,424,60
1321,424,64
1322,424,31
1323,425,2
1324,425,64
1325,425,1
1326,425,70
1327,758,36
1328,758,63
1329,758,6
1330,758,19
1331,758,69
1332,758,22
1333,758,7
1334,772,38
1335,772,69
1336,772,21
1337,772,1
1338,765,11
1339,765,19
1340,765,69
1341,765,64
1342,764,11
1343,764,69
1344,766,19
1345,766,22
1346,766,36
1347,771,20
1348,771,11
1349,771,19
1350,771,69
1351,771,7
1352,432,20
1353,432,22
1354,432,36
1355,432,31
1356,433,11
1357,433,64
1358,433,31
1359,434,64
1360,435,62
1361,435,29
1362,435,1
1363,435,23
1364,436,5
1365,436,1
1366,436,62
1367,437,19
1368,437,69
1369,437,7
1370,438,60
1371,438,64
1372,438,31
1373,439,63
1374,439,52
1375,439,64
1376,440,70
1377,441,5
1378,441,37
1379,442,62
1380,442,1
1381,442,31
1382,443,71
1383,443,64
1384,444,68
1385,444,28
1386,444,1
1387,445,63
1388,445,36
1389,445,37
1390,446,1
1391,446,23
1392,447,37
1393,447,1
1394,447,31
1395,448,1
1396,448,31
1397,449,20
1398,449,11
1399,449,64
1400,449,6
1401,449,19
1402,449,69
1403,449,7
1404,450,69
1405,450,7
1406,450,6
1407,451,62
1408,451,32
1409,451,64
1410,451,31
1411,451,12
1412,451,15
1413,452,29
1414,452,1
1415,452,62
1416,453,37
1417,453,1
1418,454,1
1419,454,31
1420,455,71
1421,455,29
1422,455,1
1423,455,62
1424,456,45
1425,456,1
1426,456,63
1427,456,5
1428,456,43
1429,457,71
1430,457,1
1431,457,31
1432,458,13
1433,458,37
1434,458,23
1435,459,64
1436,459,65
1437,460,20
1438,460,22
1439,460,36
1440,460,31
1441,461,8
1442,462,37
1443,462,1
1444,462,62
1445,463,11
1446,463,19
1447,463,38
1448,463,1
1449,464,8
1450,464,37
1451,464,9
1452,464,26
1453,464,39
1454,464,23
1455,465,2
1456,465,1
1457,465,8
1458,465,9
1459,465,23
1460,466,64
1461,466,23
1462,467,64
1463,467,23
1464,468,64
1465,469,27
1466,469,37
1467,469,1
1468,903,53
1469,903,51
1470,903,47
1471,903,37
1472,471,64
1473,471,23
1474,472,1
1475,472,70
1476,472,62
1477,472,64
1478,472,19
1479,472,23
1480,473,2
1481,473,1
1482,473,8
1483,473,9
1484,473,23
1485,474,64
1486,474,1
1487,474,23
1488,475,71
1489,475,5
1490,475,1
1491,475,62
1492,476,8
1493,477,37
1494,477,8
1495,477,1
1496,915,27
1497,915,53
1498,915,51
1499,915,37
1500,479,24
1501,479,37
1502,480,32
1503,480,60
1504,480,1
1505,480,31
1506,481,71
1507,481,64
1508,482,64
1509,483,5
1510,483,37
1511,484,63
1512,484,64
1513,484,29
1514,484,1
1515,485,1
1516,486,52
1517,486,1
1518,486,37
1519,486,26
1520,486,23
1521,487,60
1522,487,1
1523,487,23
1524,488,63
1525,488,11
1526,488,39
1527,488,64
1528,488,23
1529,865,2
1530,865,33
1531,490,11
1532,490,19
1533,490,38
1534,490,1
1535,491,2
1536,491,8
1537,491,1
1538,491,31
1539,492,37
1540,493,45
1541,493,1
1542,493,21
1543,493,4
1544,493,5
1545,493,40
1546,493,56
1547,494,2
1548,494,1
1549,494,23
1550,495,59
1551,495,1
1552,496,63
1553,496,43
1554,496,1
1555,496,31
1556,914,45
1557,914,1
1558,914,37
1559,914,5
1560,914,51
1561,914,46
1562,914,54
1563,498,38
1564,498,59
1565,498,1
1566,499,58
1567,499,1
1568,499,11
1569,499,32
1570,499,64
1571,499,19
1572,499,38
1573,499,28
1574,500,64
1575,500,1
1576,500,31
1577,501,19
1578,501,69
1579,501,7
1580,501,6
1581,502,32
1582,502,29
1583,502,1
1584,502,62
1585,503,63
1586,503,43
1587,503,1
1588,504,64
1589,504,37
1590,505,58
1591,505,1
1592,505,11
1593,505,32
1594,505,19
1595,505,38
1596,505,28
1597,506,32
1598,506,1
1599,506,62
1600,507,37
1601,508,19
1602,508,69
1603,508,7
1604,508,31
1605,1013,39
1606,1013,52
1607,1013,37
1608,1013,23
1609,509,69
1610,509,7
1611,509,6
1612,1179,18
1613,1180,18
1614,513,11
1615,513,19
1616,513,69
1617,513,7
1618,514,11
1619,514,19
1620,514,64
1621,514,23
1622,515,11
1623,515,19
1624,515,69
1625,515,7
1626,516,64
1627,516,23
1628,517,29
1629,517,1
1630,518,1
1631,518,23
1632,913,54
1633,913,51
1634,913,37
1635,913,31
1636,520,64
1637,521,64
1638,522,1
1639,522,62
1640,522,71
1641,522,64
1642,522,31
1643,523,37
1644,523,46
1645,523,1
1646,523,31
1647,524,71
1648,524,64
1649,524,1
1650,524,62
1651,525,46
1652,525,1
1653,525,31
1654,526,2
1655,526,1
1656,526,8
1657,526,9
1658,526,23
1659,527,1
1660,527,62
1661,527,70
1662,527,29
1663,527,64
1664,912,1
1665,912,37
1666,912,5
1667,912,51
1668,912,46
1669,529,11
1670,529,19
1671,529,38
1672,529,1
1673,530,11
1674,530,6
1675,530,19
1676,530,69
1677,530,7
1678,531,38
1679,531,1
1680,531,31
1681,532,1
1682,532,62
1683,532,71
1684,532,5
1685,532,31
1686,533,38
1687,533,1
1688,533,31
1689,1181,18
1690,535,20
1691,535,30
1692,535,64
1693,535,31
1694,536,63
1695,536,64
1696,536,19
1697,536,69
1698,536,7
1699,537,59
1700,537,64
1701,537,37
1702,538,19
1703,538,69
1704,538,7
1705,538,6
1706,539,37
1707,539,64
1708,539,1
1709,539,62
1710,540,5
1711,540,1
1712,541,71
1713,541,64
1714,542,11
1715,542,38
1716,542,1
1717,542,23
1718,543,19
1719,543,69
1720,543,7
1721,544,59
1722,544,52
1723,544,64
1724,545,19
1725,545,69
1726,545,7
1727,546,39
1728,546,1
1729,546,23
1730,547,11
1731,547,19
1732,547,28
1733,547,72
1734,548,46
1735,548,1
1736,548,31
1737,549,19
1738,549,69
1739,549,7
1740,1182,18
1741,551,64
1742,552,23
1743,553,37
1744,553,1
1745,553,23
1746,554,1
1747,554,31
1748,555,64
1749,555,29
1750,555,1
1751,556,71
1752,556,64
1753,556,37
1754,557,71
1755,557,64
1756,773,69
1757,773,21
1758,774,11
1759,774,19
1760,774,69
1761,560,46
1762,560,1
1763,560,31
1764,561,16
1765,561,29
1766,561,1
1767,561,62
1768,562,38
1769,562,1
1770,562,23
1771,563,19
1772,563,69
1773,563,7
1774,564,64
1775,564,37
1776,565,19
1777,565,1
1778,566,38
1779,566,59
1780,566,1
1781,567,71
1782,567,60
1783,567,64
1784,567,31
1785,568,38
1786,568,1
1787,568,23
1788,569,18
1789,570,18
1790,571,18
1791,572,65
1792,572,19
1793,572,69
1794,572,30
1795,572,7
1796,573,37
1797,573,1
1798,574,18
1799,575,1
1800,575,31
1801,576,23
1802,577,18
1803,578,18
1804,579,18
1805,580,18
1806,581,1
1807,581,62
1808,581,71
1809,581,29
1810,581,63
1811,581,43
1812,582,1
1813,582,11
1814,582,31
1815,582,19
1816,582,69
1817,583,64
1818,583,23
1819,584,18
1820,585,18
1821,586,18
1822,587,27
1823,587,37
1824,587,1
1825,588,62
1826,588,70
1827,588,20
1828,588,64
1829,588,31
1830,775,63
1831,775,19
1832,775,69
1833,776,63
1834,776,19
1835,776,69
1836,591,63
1837,591,64
1838,592,59
1839,592,64
1840,592,37
1841,593,27
1842,593,37
1843,594,60
1844,594,1
1845,594,62
1846,594,31
1847,594,15
1848,595,18
1849,596,18
1850,597,18
1851,598,37
1852,598,1
1853,599,64
1854,599,1
1855,599,31
1856,600,23
1857,601,18
1858,602,18
1859,603,18
1860,604,34
1861,604,64
1862,604,1
1863,604,20
1864,605,29
1865,605,1
1866,606,19
1867,606,69
1868,606,64
1869,606,7
1870,607,18
1871,608,18
1872,609,64
1873,609,1
1874,609,31
1875,610,18
1876,611,1
1877,611,62
1878,611,71
1879,611,29
1880,611,5
1881,612,18
1882,613,18
1883,614,18
1884,615,18
1885,616,1
1886,616,65
1887,616,70
1888,616,64
1889,616,31
1890,617,11
1891,617,19
1892,617,69
1893,617,7
1894,618,18
1895,619,18
1896,620,18
1897,621,1
1898,621,62
1899,621,29
1900,621,32
1901,621,31
1902,621,15
1903,860,48
1904,860,36
1905,860,1
1906,860,20
1907,623,11
1908,623,19
1909,623,69
1910,623,7
1911,624,29
1912,624,1
1913,625,29
1914,625,37
1915,626,18
1916,627,18
1917,628,37
1918,628,1
1919,628,62
1920,629,23
1921,630,32
1922,630,29
1923,630,1
1924,630,62
1925,631,1
1926,631,20
1927,631,64
1928,631,31
1929,631,38
1930,631,68
1931,631,28
1932,632,60
1933,632,1
1934,632,62
1935,632,29
1936,632,32
1937,632,31
1938,633,71
1939,633,5
1940,633,37
1941,634,13
1942,634,37
1943,634,23
1944,635,45
1945,635,20
1946,635,64
1947,635,31
1948,636,63
1949,636,1
1950,637,11
1951,637,19
1952,637,69
1953,637,7
1954,638,2
1955,638,1
1956,638,8
1957,638,9
1958,638,39
1959,638,23
1960,639,64
1961,639,23
1962,640,59
1963,640,64
1964,640,37
1965,859,48
1966,859,36
1967,859,1
1968,859,20
1969,642,62
1970,642,70
1971,642,17
1972,642,20
1973,642,32
1974,642,64
1975,642,19
1976,643,60
1977,643,1
1978,644,46
1979,644,5
1980,644,1
1981,645,62
1982,645,8
1983,645,1
1984,645,31
1985,646,62
1986,646,29
1987,646,1
1988,646,23
1989,647,71
1990,647,64
1991,647,23
1992,648,64
1993,648,70
1994,648,1
1995,648,31
1996,649,48
1997,649,29
1998,649,64
1999,650,37
2000,650,23
2001,651,37
2002,651,23
2003,652,19
2004,652,69
2005,652,7
2006,652,31
2007,653,6
2008,653,71
2009,653,11
2010,653,31
2011,653,19
2012,653,69
2013,653,7
2014,654,1
2015,654,21
2016,654,63
2017,654,69
2018,654,7
2019,654,43
2020,655,11
2021,655,19
2022,655,69
2023,655,7
2024,656,1
2025,656,23
2026,657,59
2027,657,64
2028,658,60
2029,658,1
2030,658,62
2031,658,71
2032,658,32
2033,658,5
2034,659,32
2035,659,29
2036,659,1
2037,659,31
2038,660,37
2039,661,38
2040,661,1
2041,662,11
2042,662,19
2043,662,69
2044,662,7
2045,663,19
2046,663,69
2047,663,7
2048,664,64
2049,664,23
2050,665,1
2051,666,1
2052,666,31
2053,666,19
2054,666,69
2055,666,7
2056,667,37
2057,667,1
2058,668,5
2059,668,37
2060,669,19
2061,669,69
2062,669,7
2063,669,6
2064,670,29
2065,670,37
2066,671,19
2067,671,69
2068,671,7
2069,672,11
2070,672,19
2071,672,8
2072,672,37
2073,673,56
2074,673,4
2075,673,1
2076,673,23
2077,674,1
2078,675,11
2079,675,38
2080,675,32
2081,675,1
2082,676,70
2083,676,20
2084,676,64
2085,676,31
2086,676,19
2087,677,20
2088,677,70
2089,677,64
2090,677,31
2091,678,63
2092,678,29
2093,678,64
2094,678,23
2095,679,2
2096,679,37
2097,679,1
2098,680,71
2099,680,29
2100,680,64
2101,681,2
2102,681,24
2103,681,64
2104,681,31
2105,682,63
2106,682,59
2107,682,1
2108,683,45
2109,683,60
2110,683,1
2111,683,42
2112,683,4
2113,683,32
2114,683,56
2115,683,48
2116,684,11
2117,684,19
2118,684,28
2119,684,72
2120,685,11
2121,685,19
2122,685,28
2123,685,72
2124,686,64
2125,686,65
2126,687,19
2127,687,69
2128,687,7
2129,688,23
2130,689,46
2131,689,60
2132,689,1
2133,689,23
2134,690,1
2135,690,11
2136,690,31
2137,690,19
2138,690,69
