difficulty,id,paidOnly,questionFrontendId,title,titleSlug,acRate
MEDIUM,34,0,34,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,0.48097209169883665
EASY,35,0,35,Search Insert Position,search-insert-position,0.5040979382409804
MEDIUM,36,0,36,Valid Sudoku,valid-sudoku,0.6398184744982129
HARD,37,0,37,Sudoku Solver,sudoku-solver,0.6536849067336381
MEDIUM,38,0,38,Count and Say,count-and-say,0.6206083390920373
MEDIUM,39,0,39,Combination Sum,combination-sum,0.7587768496865728
MEDIUM,40,0,40,Combination Sum II,combination-sum-ii,0.5876442160121256
HARD,41,0,41,First Missing Positive,first-missing-positive,0.42209084063559904
HARD,42,0,42,Trapping Rain Water,trapping-rain-water,0.6652443218984723
MEDIUM,43,0,43,Multiply Strings,multiply-strings,0.43379954585638375
HARD,44,0,44,Wildcard Matching,wildcard-matching,0.31157149693485936
MEDIUM,45,0,45,Jump Game II,jump-game-ii,0.4232241941409487
MEDIUM,46,0,46,Permutations,permutations,0.8149217768359516
MEDIUM,47,0,47,Permutations II,permutations-ii,0.6277016189549537
MEDIUM,48,0,48,Rotate Image,rotate-image,0.7913567603961599
MEDIUM,49,0,49,Group Anagrams,group-anagrams,0.7198262441955802
MEDIUM,50,0,50,"Pow(x, n)",powx-n,0.38070397110839055
HARD,51,0,51,N-Queens,n-queens,0.7468084420163146
HARD,52,0,52,N-Queens II,n-queens-ii,0.7795629686988856
MEDIUM,53,0,53,Maximum Subarray,maximum-subarray,0.5282598071391228
MEDIUM,54,0,54,Spiral Matrix,spiral-matrix,0.5582055872106858
MEDIUM,55,0,55,Jump Game,jump-game,0.40325884132170076
MEDIUM,56,0,56,Merge Intervals,merge-intervals,0.5087859685928888
MEDIUM,57,0,57,Insert Interval,insert-interval,0.4456694556538233
EASY,58,0,58,Length of Last Word,length-of-last-word,0.5798896579803086
MEDIUM,59,0,59,Spiral Matrix II,spiral-matrix-ii,0.7447523464722839
HARD,60,0,60,Permutation Sequence,permutation-sequence,0.5179857422046804
MEDIUM,61,0,61,Rotate List,rotate-list,0.4098679198188939
MEDIUM,62,0,62,Unique Paths,unique-paths,0.664470761294683
MEDIUM,63,0,63,Unique Paths II,unique-paths-ii,0.4400203814009356
MEDIUM,64,0,64,Minimum Path Sum,minimum-path-sum,0.6763692641603043
HARD,65,0,65,Valid Number,valid-number,0.22447806510756288
EASY,66,0,66,Plus One,plus-one,0.4930399876338763
EASY,67,0,67,Add Binary,add-binary,0.5670398645050312
HARD,68,0,68,Text Justification,text-justification,0.5012712510668125
EASY,69,0,69,Sqrt(x),sqrtx,0.41234324902534875
EASY,70,0,70,Climbing Stairs,climbing-stairs,0.5384751034536307
MEDIUM,71,0,71,Simplify Path,simplify-path,0.49738591611793886
MEDIUM,72,0,72,Edit Distance,edit-distance,0.5996390994924672
MEDIUM,73,0,73,Set Matrix Zeroes,set-matrix-zeroes,0.6218737785068468
MEDIUM,74,0,74,Search a 2D Matrix,search-a-2d-matrix,0.5333675986318188
MEDIUM,75,0,75,Sort Colors,sort-colors,0.6890399910179795
HARD,76,0,76,Minimum Window Substring,minimum-window-substring,0.4669386987554567
MEDIUM,77,0,77,Combinations,combinations,0.7400453037543658
MEDIUM,78,0,78,Subsets,subsets,0.8187366717093931
MEDIUM,79,0,79,Word Search,word-search,0.4661253647916036
MEDIUM,80,0,80,Remove Duplicates from Sorted Array II,remove-duplicates-from-sorted-array-ii,0.6407834730609154
MEDIUM,81,0,81,Search in Rotated Sorted Array II,search-in-rotated-sorted-array-ii,0.39577846554746393
MEDIUM,82,0,82,Remove Duplicates from Sorted List II,remove-duplicates-from-sorted-list-ii,0.5111294259141731
EASY,83,0,83,Remove Duplicates from Sorted List,remove-duplicates-from-sorted-list,0.5604364170784697
HARD,84,0,84,Largest Rectangle in Histogram,largest-rectangle-in-histogram,0.49070633491848986
HARD,85,0,85,Maximal Rectangle,maximal-rectangle,0.5779772360488437
MEDIUM,86,0,86,Partition List,partition-list,0.6037020007012638
HARD,87,0,87,Scramble String,scramble-string,0.43648410446903063
EASY,88,0,88,Merge Sorted Array,merge-sorted-array,0.5413785046349529
MEDIUM,89,0,89,Gray Code,gray-code,0.6376613033745315
MEDIUM,90,0,90,Subsets II,subsets-ii,0.6068058435657867
MEDIUM,91,0,91,Decode Ways,decode-ways,0.3746363376063762
MEDIUM,92,0,92,Reverse Linked List II,reverse-linked-list-ii,0.5077569711341893
MEDIUM,93,0,93,Restore IP Addresses,restore-ip-addresses,0.5499319970774387
EASY,94,0,94,Binary Tree Inorder Traversal,binary-tree-inorder-traversal,0.7955787134263252
MEDIUM,95,0,95,Unique Binary Search Trees II,unique-binary-search-trees-ii,0.6168727935718055
MEDIUM,96,0,96,Unique Binary Search Trees,unique-binary-search-trees,0.6316620902094223
MEDIUM,97,0,97,Interleaving String,interleaving-string,0.4331133204219778
MEDIUM,98,0,98,Validate Binary Search Tree,validate-binary-search-tree,0.3520142040504774
MEDIUM,99,0,99,Recover Binary Search Tree,recover-binary-search-tree,0.5843998700362629
EASY,100,0,100,Same Tree,same-tree,0.6641049062345772
EASY,101,0,101,Symmetric Tree,symmetric-tree,0.6050145900822768
MEDIUM,102,0,102,Binary Tree Level Order Traversal,binary-tree-level-order-traversal,0.7194738658420033
MEDIUM,103,0,103,Binary Tree Zigzag Level Order Traversal,binary-tree-zigzag-level-order-traversal,0.6294990769304332
EASY,104,0,104,Maximum Depth of Binary Tree,maximum-depth-of-binary-tree,0.7780180765000341
MEDIUM,105,0,105,Construct Binary Tree from Preorder and Inorder Traversal,construct-binary-tree-from-preorder-and-inorder-traversal,0.6813787366875053
MEDIUM,106,0,106,Construct Binary Tree from Inorder and Postorder Traversal,construct-binary-tree-from-inorder-and-postorder-traversal,0.6777376214335317
MEDIUM,107,0,107,Binary Tree Level Order Traversal II,binary-tree-level-order-traversal-ii,0.6739867682214933
EASY,108,0,108,Convert Sorted Array to Binary Search Tree,convert-sorted-array-to-binary-search-tree,0.7503161376016498
MEDIUM,109,0,109,Convert Sorted List to Binary Search Tree,convert-sorted-list-to-binary-search-tree,0.6572873112891385
EASY,110,0,110,Balanced Binary Tree,balanced-binary-tree,0.5684845357581735
EASY,111,0,111,Minimum Depth of Binary Tree,minimum-depth-of-binary-tree,0.5207789660754838
EASY,112,0,112,Path Sum,path-sum,0.5418846703932746
MEDIUM,113,0,113,Path Sum II,path-sum-ii,0.6156643283093162
MEDIUM,114,0,114,Flatten Binary Tree to Linked List,flatten-binary-tree-to-linked-list,0.6996280509639486
HARD,115,0,115,Distinct Subsequences,distinct-subsequences,0.5132599752309641
MEDIUM,116,0,116,Populating Next Right Pointers in Each Node,populating-next-right-pointers-in-each-node,0.6666135243313291
MEDIUM,117,0,117,Populating Next Right Pointers in Each Node II,populating-next-right-pointers-in-each-node-ii,0.5689939684218078
EASY,118,0,118,Pascal's Triangle,pascals-triangle,0.7853387235796906
EASY,119,0,119,Pascal's Triangle II,pascals-triangle-ii,0.6694962104732379
MEDIUM,120,0,120,Triangle,triangle,0.5984087431312217
EASY,121,0,121,Best Time to Buy and Sell Stock,best-time-to-buy-and-sell-stock,0.5621695319996678
MEDIUM,122,0,122,Best Time to Buy and Sell Stock II,best-time-to-buy-and-sell-stock-ii,0.705527560317811
HARD,123,0,123,Best Time to Buy and Sell Stock III,best-time-to-buy-and-sell-stock-iii,0.5290359931574599
HARD,124,0,124,Binary Tree Maximum Path Sum,binary-tree-maximum-path-sum,0.41901780510755465
EASY,125,0,125,Valid Palindrome,valid-palindrome,0.5249548520098599
HARD,126,0,126,Word Ladder II,word-ladder-ii,0.2744825185919439
HARD,127,0,127,Word Ladder,word-ladder,0.44620806168729304
MEDIUM,128,0,128,Longest Consecutive Sequence,longest-consecutive-sequence,0.4697234157436039
MEDIUM,129,0,129,Sum Root to Leaf Numbers,sum-root-to-leaf-numbers,0.6941849314447387
MEDIUM,130,0,130,Surrounded Regions,surrounded-regions,0.44508297020185206
MEDIUM,131,0,131,Palindrome Partitioning,palindrome-partitioning,0.7351043529873461
HARD,132,0,132,Palindrome Partitioning II,palindrome-partitioning-ii,0.3640508069342119
MEDIUM,133,0,133,Clone Graph,clone-graph,0.6438649877741388
MEDIUM,134,0,134,Gas Station,gas-station,0.4734243653244659
HARD,135,0,135,Candy,candy,0.477598932573444
EASY,136,0,136,Single Number,single-number,0.7713022912105788
MEDIUM,137,0,137,Single Number II,single-number-ii,0.6648026604835703
MEDIUM,138,0,138,Copy List with Random Pointer,copy-list-with-random-pointer,0.6215210814591808
MEDIUM,139,0,139,Word Break,word-break,0.49016013260401414
HARD,140,0,140,Word Break II,word-break-ii,0.5489363403049424
EASY,141,0,141,Linked List Cycle,linked-list-cycle,0.536880647222308
MEDIUM,142,0,142,Linked List Cycle II,linked-list-cycle-ii,0.5689347647713493
MEDIUM,143,0,143,Reorder List,reorder-list,0.6425493192314956
EASY,144,0,144,Binary Tree Preorder Traversal,binary-tree-preorder-traversal,0.7489282941684617
EASY,145,0,145,Binary Tree Postorder Traversal,binary-tree-postorder-traversal,0.773432140623799
MEDIUM,146,0,146,LRU Cache,lru-cache,0.46606292831006646
MEDIUM,147,0,147,Insertion Sort List,insertion-sort-list,0.581484858569875
MEDIUM,148,0,148,Sort List,sort-list,0.6356127929984337
HARD,149,0,149,Max Points on a Line,max-points-on-a-line,0.3007455105002191
MEDIUM,150,0,150,Evaluate Reverse Polish Notation,evaluate-reverse-polish-notation,0.5668266443117119
MEDIUM,151,0,151,Reverse Words in a String,reverse-words-in-a-string,0.5502510891126419
MEDIUM,152,0,152,Maximum Product Subarray,maximum-product-subarray,0.3583053970535122
MEDIUM,153,0,153,Find Minimum in Rotated Sorted Array,find-minimum-in-rotated-sorted-array,0.5361034827562906
HARD,154,0,154,Find Minimum in Rotated Sorted Array II,find-minimum-in-rotated-sorted-array-ii,0.4451619407419985
MEDIUM,155,0,155,Min Stack,min-stack,0.5752751399914171
MEDIUM,156,1,156,Binary Tree Upside Down,binary-tree-upside-down,0.6523540176343371
EASY,157,1,157,Read N Characters Given Read4,read-n-characters-given-read4,0.4248182520320219
HARD,158,1,158,Read N Characters Given read4 II - Call Multiple Times,read-n-characters-given-read4-ii-call-multiple-times,0.431824699648358
MEDIUM,159,1,159,Longest Substring with At Most Two Distinct Characters,longest-substring-with-at-most-two-distinct-characters,0.5690910893505384
EASY,160,0,160,Intersection of Two Linked Lists,intersection-of-two-linked-lists,0.6289875681106463
MEDIUM,161,1,161,One Edit Distance,one-edit-distance,0.34536462728758843
MEDIUM,162,0,162,Find Peak Element,find-peak-element,0.4674720963279787
EASY,163,1,163,Missing Ranges,missing-ranges,0.3552137677288079
MEDIUM,164,0,164,Maximum Gap,maximum-gap,0.5111236383903263
MEDIUM,165,0,165,Compare Version Numbers,compare-version-numbers,0.45968660863816807
MEDIUM,166,0,166,Fraction to Recurring Decimal,fraction-to-recurring-decimal,0.30419283535729497
MEDIUM,167,0,167,Two Sum II - Input Array Is Sorted,two-sum-ii-input-array-is-sorted,0.6441200740280951
EASY,168,0,168,Excel Sheet Column Title,excel-sheet-column-title,0.45397734870850603
EASY,169,0,169,Majority Element,majority-element,0.6603980107497479
EASY,170,1,170,Two Sum III - Data structure design,two-sum-iii-data-structure-design,0.3906754925466485
EASY,171,0,171,Excel Sheet Column Number,excel-sheet-column-number,0.6704923393988758
MEDIUM,172,0,172,Factorial Trailing Zeroes,factorial-trailing-zeroes,0.45939515714226303
MEDIUM,173,0,173,Binary Search Tree Iterator,binary-search-tree-iterator,0.7596928775645982
HARD,174,0,174,Dungeon Game,dungeon-game,0.40676135915103806
EASY,175,0,175,Combine Two Tables,combine-two-tables,0.790341591960908
MEDIUM,176,0,176,Second Highest Salary,second-highest-salary,0.45991961492958205
MEDIUM,177,0,177,Nth Highest Salary,nth-highest-salary,0.3871795455609146
MEDIUM,178,0,178,Rank Scores,rank-scores,0.6684367021173969
MEDIUM,179,0,179,Largest Number,largest-number,0.42330079703914003
MEDIUM,180,0,180,Consecutive Numbers,consecutive-numbers,0.47616599786661257
EASY,181,0,181,Employees Earning More Than Their Managers,employees-earning-more-than-their-managers,0.7265668600050532
EASY,182,0,182,Duplicate Emails,duplicate-emails,0.7325345270164081
EASY,183,0,183,Customers Who Never Order,customers-who-never-order,0.7133252770071316
MEDIUM,184,0,184,Department Highest Salary,department-highest-salary,0.5691557958895455
HARD,185,0,185,Department Top Three Salaries,department-top-three-salaries,0.5956643694315276
MEDIUM,186,1,186,Reverse Words in a String II,reverse-words-in-a-string-ii,0.5651015304465196
MEDIUM,187,0,187,Repeated DNA Sequences,repeated-dna-sequences,0.5264642528504039
HARD,188,0,188,Best Time to Buy and Sell Stock IV,best-time-to-buy-and-sell-stock-iv,0.4923493955448116
MEDIUM,189,0,189,Rotate Array,rotate-array,0.44244270619635206
EASY,190,0,190,Reverse Bits,reverse-bits,0.6553340929044503
EASY,191,0,191,Number of 1 Bits,number-of-1-bits,0.7603871392635392
MEDIUM,192,0,192,Word Frequency,word-frequency,0.28196757119398386
EASY,193,0,193,Valid Phone Numbers,valid-phone-numbers,0.2870239139193705
MEDIUM,194,0,194,Transpose File,transpose-file,0.3021445799844339
EASY,195,0,195,Tenth Line,tenth-line,0.35864181237530646
EASY,196,0,196,Delete Duplicate Emails,delete-duplicate-emails,0.6541092384373282
EASY,197,0,197,Rising Temperature,rising-temperature,0.509218317974681
MEDIUM,198,0,198,House Robber,house-robber,0.5284019072135125
MEDIUM,199,0,199,Binary Tree Right Side View,binary-tree-right-side-view,0.6914760691905173
MEDIUM,200,0,200,Number of Islands,number-of-islands,0.6358630992068577
MEDIUM,201,0,201,Bitwise AND of Numbers Range,bitwise-and-of-numbers-range,0.48529938204587997
EASY,202,0,202,Happy Number,happy-number,0.5907545029817507
EASY,203,0,203,Remove Linked List Elements,remove-linked-list-elements,0.5356828441249359
MEDIUM,204,0,204,Count Primes,count-primes,0.3563666801632504
EASY,205,0,205,Isomorphic Strings,isomorphic-strings,0.4784131222867729
EASY,206,0,206,Reverse Linked List,reverse-linked-list,0.8010717597974432
MEDIUM,207,0,207,Course Schedule,course-schedule,0.5058634593856814
MEDIUM,208,0,208,Implement Trie (Prefix Tree),implement-trie-prefix-tree,0.6901480745997268
MEDIUM,209,0,209,Minimum Size Subarray Sum,minimum-size-subarray-sum,0.5069140684053478
MEDIUM,210,0,210,Course Schedule II,course-schedule-ii,0.5477824045131645
MEDIUM,211,0,211,Design Add and Search Words Data Structure,design-add-and-search-words-data-structure,0.48001310154995613
HARD,212,0,212,Word Search II,word-search-ii,0.37987703154176744
MEDIUM,213,0,213,House Robber II,house-robber-ii,0.44462163542071936
HARD,214,0,214,Shortest Palindrome,shortest-palindrome,0.4163135710142297
MEDIUM,215,0,215,Kth Largest Element in an Array,kth-largest-element-in-an-array,0.6868868621541379
MEDIUM,216,0,216,Combination Sum III,combination-sum-iii,0.7278683543432958
EASY,217,0,217,Contains Duplicate,contains-duplicate,0.6394821661382393
HARD,218,0,218,The Skyline Problem,the-skyline-problem,0.44819636916144917
EASY,219,0,219,Contains Duplicate II,contains-duplicate-ii,0.5050798320999014
HARD,220,0,220,Contains Duplicate III,contains-duplicate-iii,0.24358877505822962
MEDIUM,221,0,221,Maximal Square,maximal-square,0.49843571096756145
EASY,222,0,222,Count Complete Tree Nodes,count-complete-tree-nodes,0.7174091529713816
MEDIUM,223,0,223,Rectangle Area,rectangle-area,0.4876372796685746
HARD,224,0,224,Basic Calculator,basic-calculator,0.46411084553020393
EASY,225,0,225,Implement Stack using Queues,implement-stack-using-queues,0.6902300533069962
EASY,226,0,226,Invert Binary Tree,invert-binary-tree,0.7970961507325321
MEDIUM,227,0,227,Basic Calculator II,basic-calculator-ii,0.4654209755852857
EASY,228,0,228,Summary Ranges,summary-ranges,0.5379715948945151
MEDIUM,229,0,229,Majority Element II,majority-element-ii,0.5559762555057334
MEDIUM,230,0,230,Kth Smallest Element in a BST,kth-smallest-element-in-a-bst,0.763180302252319
EASY,231,0,231,Power of Two,power-of-two,0.49702322212902883
EASY,232,0,232,Implement Queue using Stacks,implement-queue-using-stacks,0.6911179600732108
HARD,233,0,233,Number of Digit One,number-of-digit-one,0.3746792537397053
EASY,234,0,234,Palindrome Linked List,palindrome-linked-list,0.5716493472333788
MEDIUM,235,0,235,Lowest Common Ancestor of a Binary Search Tree,lowest-common-ancestor-of-a-binary-search-tree,0.698275898433989
MEDIUM,236,0,236,Lowest Common Ancestor of a Binary Tree,lowest-common-ancestor-of-a-binary-tree,0.6847374855539321
MEDIUM,237,0,237,Delete Node in a Linked List,delete-node-in-a-linked-list,0.8341319783491857
MEDIUM,238,0,238,Product of Array Except Self,product-of-array-except-self,0.6844918086374308
HARD,239,0,239,Sliding Window Maximum,sliding-window-maximum,0.4830902270724076
MEDIUM,240,0,240,Search a 2D Matrix II,search-a-2d-matrix-ii,0.565687335892441
MEDIUM,241,0,241,Different Ways to Add Parentheses,different-ways-to-add-parentheses,0.7296213905264657
EASY,242,0,242,Valid Anagram,valid-anagram,0.6760261316556754
EASY,243,1,243,Shortest Word Distance,shortest-word-distance,0.6617261945567973
MEDIUM,244,1,244,Shortest Word Distance II,shortest-word-distance-ii,0.6264154027080513
MEDIUM,245,1,245,Shortest Word Distance III,shortest-word-distance-iii,0.593524882007121
EASY,246,1,246,Strobogrammatic Number,strobogrammatic-number,0.4757297861715168
MEDIUM,247,1,247,Strobogrammatic Number II,strobogrammatic-number-ii,0.5346142096245036
HARD,248,1,248,Strobogrammatic Number III,strobogrammatic-number-iii,0.4263659282065011
MEDIUM,249,1,249,Group Shifted Strings,group-shifted-strings,0.6769986236600222
MEDIUM,250,1,250,Count Univalue Subtrees,count-univalue-subtrees,0.5741583566557075
MEDIUM,251,1,251,Flatten 2D Vector,flatten-2d-vector,0.5041324911222149
EASY,252,1,252,Meeting Rooms,meeting-rooms,0.5926094723962216
MEDIUM,253,1,253,Meeting Rooms II,meeting-rooms-ii,0.5247831021822524
MEDIUM,254,1,254,Factor Combinations,factor-combinations,0.5046906748519303
MEDIUM,255,1,255,Verify Preorder Sequence in Binary Search Tree,verify-preorder-sequence-in-binary-search-tree,0.5162083005136512
MEDIUM,256,1,256,Paint House,paint-house,0.6417864432726654
EASY,257,0,257,Binary Tree Paths,binary-tree-paths,0.6794617850148645
EASY,258,0,258,Add Digits,add-digits,0.6850076936022889
MEDIUM,259,1,259,3Sum Smaller,3sum-smaller,0.5128803188253552
MEDIUM,260,0,260,Single Number III,single-number-iii,0.704307698348233
MEDIUM,261,1,261,Graph Valid Tree,graph-valid-tree,0.49757407428749234
HARD,262,0,262,Trips and Users,trips-and-users,0.37546391528172307
EASY,263,0,263,Ugly Number,ugly-number,0.4300162620602421
MEDIUM,264,0,264,Ugly Number II,ugly-number-ii,0.4945264789850825
HARD,265,1,265,Paint House II,paint-house-ii,0.5684784041478097
EASY,266,1,266,Palindrome Permutation,palindrome-permutation,0.6860309348314872
MEDIUM,267,1,267,Palindrome Permutation II,palindrome-permutation-ii,0.4227541954590326
EASY,268,0,268,Missing Number,missing-number,0.7140101530799179
HARD,269,1,269,Alien Dictionary,alien-dictionary,0.3701297688127332
EASY,270,1,270,Closest Binary Search Tree Value,closest-binary-search-tree-value,0.49316315919180176
MEDIUM,271,1,271,Encode and Decode Strings,encode-and-decode-strings,0.5099828338434432
HARD,272,1,272,Closest Binary Search Tree Value II,closest-binary-search-tree-value-ii,0.6098935920333627
HARD,273,0,273,Integer to English Words,integer-to-english-words,0.3477090591697366
MEDIUM,274,0,274,H-Index,h-index,0.41028385579773813
MEDIUM,275,0,275,H-Index II,h-index-ii,0.39287900908962464
MEDIUM,276,1,276,Paint Fence,paint-fence,0.4818187297975422
MEDIUM,277,1,277,Find the Celebrity,find-the-celebrity,0.48801051233867376
EASY,278,0,278,First Bad Version,first-bad-version,0.46678015208804313
MEDIUM,279,0,279,Perfect Squares,perfect-squares,0.5622129987231943
MEDIUM,280,1,280,Wiggle Sort,wiggle-sort,0.6838295500078396
MEDIUM,281,1,281,Zigzag Iterator,zigzag-iterator,0.6638471196765531
HARD,282,0,282,Expression Add Operators,expression-add-operators,0.42640827465231324
EASY,283,0,283,Move Zeroes,move-zeroes,0.6339349890107021
MEDIUM,284,0,284,Peeking Iterator,peeking-iterator,0.6109992427581136
MEDIUM,285,1,285,Inorder Successor in BST,inorder-successor-in-bst,0.5109418914365816
MEDIUM,286,1,286,Walls and Gates,walls-and-gates,0.6359726727612307
MEDIUM,287,0,287,Find the Duplicate Number,find-the-duplicate-number,0.6381354587316597
MEDIUM,288,1,288,Unique Word Abbreviation,unique-word-abbreviation,0.273660875393102
MEDIUM,289,0,289,Game of Life,game-of-life,0.7221843889973182
EASY,290,0,290,Word Pattern,word-pattern,0.43671695725238296
MEDIUM,291,1,291,Word Pattern II,word-pattern-ii,0.4875498329605035
EASY,292,0,292,Nim Game,nim-game,0.5901169790465095
EASY,293,1,293,Flip Game,flip-game,0.6500849708789125
MEDIUM,294,1,294,Flip Game II,flip-game-ii,0.5225302090703514
HARD,295,0,295,Find Median from Data Stream,find-median-from-data-stream,0.5403857386202505
HARD,296,1,296,Best Meeting Point,best-meeting-point,0.6133619670328968
HARD,297,0,297,Serialize and Deserialize Binary Tree,serialize-and-deserialize-binary-tree,0.6015740722350509
MEDIUM,298,1,298,Binary Tree Longest Consecutive Sequence,binary-tree-longest-consecutive-sequence,0.54581720012326
MEDIUM,299,0,299,Bulls and Cows,bulls-and-cows,0.5205733552132273
MEDIUM,300,0,300,Longest Increasing Subsequence,longest-increasing-subsequence,0.5889218876041312
HARD,301,0,301,Remove Invalid Parentheses,remove-invalid-parentheses,0.49685424101015646
HARD,302,1,302,Smallest Rectangle Enclosing Black Pixels,smallest-rectangle-enclosing-black-pixels,0.6079606774589945
EASY,303,0,303,Range Sum Query - Immutable,range-sum-query-immutable,0.7091683583480317
MEDIUM,304,0,304,Range Sum Query 2D - Immutable,range-sum-query-2d-immutable,0.5762617782850742
HARD,305,1,305,Number of Islands II,number-of-islands-ii,0.4031592409526114
MEDIUM,306,0,306,Additive Number,additive-number,0.3336777069361293
MEDIUM,307,0,307,Range Sum Query - Mutable,range-sum-query-mutable,0.4239656414632526
MEDIUM,308,1,308,Range Sum Query 2D - Mutable,range-sum-query-2d-mutable,0.45337669707949535
MEDIUM,309,0,309,Best Time to Buy and Sell Stock with Cooldown,best-time-to-buy-and-sell-stock-with-cooldown,0.6156141603968909
MEDIUM,310,0,310,Minimum Height Trees,minimum-height-trees,0.4235040240622776
MEDIUM,311,1,311,Sparse Matrix Multiplication,sparse-matrix-multiplication,0.6917605084885393
HARD,312,0,312,Burst Balloons,burst-balloons,0.6276927961944759
MEDIUM,313,0,313,Super Ugly Number,super-ugly-number,0.4586522043015509
MEDIUM,314,1,314,Binary Tree Vertical Order Traversal,binary-tree-vertical-order-traversal,0.5769801994786131
HARD,315,0,315,Count of Smaller Numbers After Self,count-of-smaller-numbers-after-self,0.43219982943065327
MEDIUM,316,0,316,Remove Duplicate Letters,remove-duplicate-letters,0.5257118975469154
HARD,317,1,317,Shortest Distance from All Buildings,shortest-distance-from-all-buildings,0.4480356086033431
MEDIUM,318,0,318,Maximum Product of Word Lengths,maximum-product-of-word-lengths,0.6096202306703162
MEDIUM,319,0,319,Bulb Switcher,bulb-switcher,0.5530331505591831
MEDIUM,320,1,320,Generalized Abbreviation,generalized-abbreviation,0.6031448955433982
HARD,321,0,321,Create Maximum Number,create-maximum-number,0.3431703381654723
MEDIUM,322,0,322,Coin Change,coin-change,0.47765975293782437
MEDIUM,323,1,323,Number of Connected Components in an Undirected Graph,number-of-connected-components-in-an-undirected-graph,0.6469429912013298
MEDIUM,324,0,324,Wiggle Sort II,wiggle-sort-ii,0.3661692974699045
MEDIUM,325,1,325,Maximum Size Subarray Sum Equals k,maximum-size-subarray-sum-equals-k,0.5077299581197098
EASY,326,0,326,Power of Three,power-of-three,0.5054368079292659
HARD,327,0,327,Count of Range Sum,count-of-range-sum,0.38124493447310875
MEDIUM,328,0,328,Odd Even Linked List,odd-even-linked-list,0.6221969719041653
HARD,329,0,329,Longest Increasing Path in a Matrix,longest-increasing-path-in-a-matrix,0.5618689865741479
HARD,330,0,330,Patching Array,patching-array,0.5399259698759439
MEDIUM,331,0,331,Verify Preorder Serialization of a Binary Tree,verify-preorder-serialization-of-a-binary-tree,0.46933227258548704
HARD,332,0,332,Reconstruct Itinerary,reconstruct-itinerary,0.44148851743465106
MEDIUM,333,1,333,Largest BST Subtree,largest-bst-subtree,0.4577912784623531
MEDIUM,334,0,334,Increasing Triplet Subsequence,increasing-triplet-subsequence,0.391819096432787
HARD,335,0,335,Self Crossing,self-crossing,0.3392959284488587
HARD,336,0,336,Palindrome Pairs,palindrome-pairs,0.36860431210442357
MEDIUM,337,0,337,House Robber III,house-robber-iii,0.5554798194379795
EASY,338,0,338,Counting Bits,counting-bits,0.8028065623203858
